#x_rot,y_rot,z_rot,V_homo,V_lumo,Dexter,
16,0,0,0.017351,0.018121,-0.005416,FALSE
16,2,0,-0.017422,-0.018154,-0.005449,FALSE
16,4,0,-0.017637,-0.01825,0.005546,FALSE
16,6,0,0.018,0.018398,0.005708,FALSE
16,8,0,-0.018515,-0.018583,0.005935,FALSE
16,10,0,0.019183,-0.018789,-0.006223,FALSE
16,12,0,-0.02001,0.018993,-0.006567,FALSE
16,14,0,-0.021003,0.019165,0.006966,FALSE
16,16,0,-0.022174,0.01927,-0.007414,FALSE
16,18,0,-0.023535,0.019265,0.007898,FALSE
16,20,0,0.025103,0.019102,0.008404,FALSE
16,22,0,0.026902,0.018717,-0.008905,FALSE
16,24,0,0.028966,-0.018032,-0.009362,FALSE
18,0,0,0.017446,0.018499,-0.005553,FALSE
18,2,0,-0.017516,-0.018533,0.005586,FALSE
18,4,0,-0.01773,-0.01863,-0.005685,FALSE
18,6,0,-0.018094,-0.018778,0.005849,FALSE
18,8,0,0.01861,0.01896,0.006078,FALSE
18,10,0,0.01928,-0.019159,0.00637,FALSE
18,12,0,-0.020105,0.019355,-0.006718,FALSE
18,14,0,0.021094,0.019517,0.007118,FALSE
18,16,0,0.022259,0.019607,0.007567,FALSE
18,18,0,0.023613,-0.019581,0.008052,FALSE
18,20,0,0.025179,-0.019384,-0.008557,FALSE
18,22,0,-0.026985,-0.018953,0.009056,FALSE
18,24,0,-0.029071,0.018205,0.009508,FALSE
20,0,0,-0.017514,-0.018903,-0.005696,FALSE
20,2,0,-0.017583,0.018938,-0.00573,FALSE
20,4,0,0.017796,-0.019037,0.005829,FALSE
20,6,0,0.01816,0.019183,-0.005995,FALSE
20,8,0,0.018678,-0.019359,-0.006224,FALSE
20,10,0,-0.019349,-0.019548,0.006517,FALSE
20,12,0,-0.020173,0.01973,0.00687,FALSE
20,14,0,0.021158,-0.019875,-0.007269,FALSE
20,16,0,-0.022315,-0.019944,-0.007716,FALSE
20,18,0,-0.023662,0.019889,0.008198,FALSE
20,20,0,0.025223,0.019653,-0.008698,FALSE
20,22,0,0.027034,0.019169,-0.009191,FALSE
22,0,0,0.01755,0.01932,-0.005841,FALSE
22,2,0,-0.017619,-0.019355,-0.005875,FALSE
22,4,0,0.017832,-0.019453,-0.005975,FALSE
22,6,0,0.018195,0.019595,0.00614,FALSE
22,8,0,0.018712,-0.019762,0.006369,FALSE
22,10,0,-0.019383,0.019939,0.006661,FALSE
22,12,0,0.020205,-0.020103,0.007013,FALSE
22,14,0,0.021185,-0.020224,-0.007412,FALSE
22,16,0,-0.022333,-0.020265,-0.007852,FALSE
22,18,0,0.023671,-0.020173,0.008326,FALSE
22,20,0,0.025226,-0.019891,-0.008817,FALSE
22,22,0,0.027039,0.019347,-0.009299,FALSE
24,0,0,0.01755,-0.019729,-0.005981,FALSE
24,2,0,-0.01762,0.019763,0.006015,FALSE
24,4,0,-0.017831,-0.019857,-0.006115,FALSE
