#x, #y, #z, #V1, #V2
035,065,000,0.0032031,-0.0017122
035,070,000,0.0031752,0.0010747
035,075,000,-0.0034092,0.0007870
035,080,000,-0.0036822,0.0023083
035,085,000,-0.0037221,0.0026818
035,090,000,-0.0036652,0.0026649
040,000,000,-0.0000862,0.0001848
040,005,000,0.0008493,0.0001912
040,010,000,0.0013192,-0.0001986
040,015,000,-0.0009507,-0.0001892
040,020,000,0.0000427,0.0001655
040,025,000,0.0004078,-0.0001438
040,030,000,0.0018440,0.0001243
040,035,000,0.0023230,0.0000750
040,040,000,-0.0017266,0.0001007
040,045,000,-0.0010029,0.0002206
040,050,000,0.0,0.0
040,055,000,-0.0031720,0.0021966
040,060,000,-0.0031991,0.0019803
040,065,000,0.0030108,0.0010896
040,070,000,0.0031928,-0.0008785
040,075,000,0.0036579,0.0016640
040,080,000,-0.0039206,-0.0026170
040,085,000,-0.0037899,-0.0025231
040,090,000,0.0036201,-0.0022396
045,000,000,-0.0000133,0.0001676
045,005,000,0.0008851,0.0001748
045,010,000,0.0015545,0.0001898
045,015,000,-0.0015231,0.0001830
045,020,000,-0.0006614,-0.0001528
045,025,000,0.0004391,0.0001235
045,030,000,0.0017687,-0.0000950
045,035,000,0.0024579,-0.0000582
045,040,000,0.0020837,-0.0001233
045,045,000,-0.0014718,0.0002299
045,050,000,-0.0025339,-0.0006970
045,055,000,0.0032324,-0.0023362
045,060,000,0.0031262,-0.0017467
045,065,000,-0.0029932,0.0009048
045,070,000,0.0033666,-0.0011252
045,075,000,0.0038509,-0.0020324
045,080,000,0.0040275,0.0025722
045,085,000,-0.0038553,0.0023370
045,090,000,0.0036906,-0.0020398
050,000,000,0.0007627,0.0001512
050,005,000,0.0009812,-0.0001529
050,010,000,-0.0014626,0.0001609
050,015,000,-0.0018137,0.0001753
050,020,000,0.0,0.0
050,025,000,-0.0011502,0.0001064
050,030,000,0.0016722,0.0000665
050,035,000,0.0024565,0.0000137
050,040,000,-0.0022641,0.0001540
050,045,000,0.0017360,0.0002382
050,050,000,-0.0026392,-0.0008252
050,055,000,0.0031901,-0.0021535
050,060,000,0.0030400,0.0013925
050,065,000,0.0031695,0.0011454
050,070,000,-0.0036638,0.0018421
050,075,000,-0.0039427,-0.0021956
050,080,000,0.0038803,0.0022263
050,085,000,-0.0037321,-0.0020853
050,090,000,0.0036633,-0.0020199
055,000,000,0.0015770,-0.0001372
055,005,000,-0.0013673,0.0001311
055,010,000,0.0012703,-0.0001283
055,015,000,0.0019040,0.0001485
055,020,000,0.0021393,-0.0001585
055,025,000,0.0016434,0.0000922
055,030,000,0.0015870,-0.0000432
055,035,000,0.0024565,0.0000221
055,040,000,-0.0024399,0.0002057
055,045,000,-0.0019618,0.0002471
